# manual_adjustments.csv — shares that left without Schwab's API reporting it.
#
# WHY THIS FILE EXISTS
#   Measured 2026-09-24. Schwab's transactions API returns NOTHING for account
#   ...171 between 2023-10 and 2024-08, while the web UI shows trades all the
#   way through. A full refetch from 2019 returned byte-identical data. Four
#   causes were tested and excluded: a failed chunk, the forward-only
#   watermark, the `types` filter, and the parser. The rows are not obtainable.
#
# HOW TO USE
#   qty       POSITIVE — how many shares to remove. Take it from qty_mismatch
#             in ticker_pl_summary.csv; that is our count minus Schwab's, and
#             Schwab's is authoritative.
#   date      when it left. Blank = after that ticker's last known transaction,
#             which is the only ordering that cannot consume later lots.
#   proceeds  TOTAL cash received, not per share. LEAVE BLANK IF UNKNOWN: the
#             shares then exit at cost, so the share count and unrealized P&L
#             become correct and realized P&L gains nothing invented.
#   note      free text.
#
#   Every applied row appears in anomalies.csv, so an estimate can never
#   quietly pass for a measured figure. Fill in proceeds from a statement when
#   you have one and that ticker becomes exact.
#
# Seeded from the 21 mismatches as of 2026-09-24. Delete a line rather than
# guessing if you would rather leave a ticker visibly wrong.
#
# WHICH FILE TO USE
#   manual_transactions.csv when you have the COMPLETE history — it replaces
#   the API rows outright. SOFI qualified: every buy and sell was visible.
#
#   THIS file when only the EXIT is missing and the buys were captured
#   correctly. BITO and METV qualify: Schwab's UI only goes back four years, so
#   their original purchases are not visible, but our API data already holds
#   BUY 329 / SELL 35 for BITO and BUY 260 / SELL 85 for METV. Supplying just
#   the missing sell with its proceeds closes the lots FIFO and gets realized
#   P&L right without needing the opening trades.
#
# KNOWN SMALL GAP: dividends paid inside the API window are missing too — BITO
# received ~$143.60 across Oct-Dec 2023 and METV $3.35 on 2023-12-29. Neither
# file carries dividends yet. About $147 total, so recorded rather than built.
symbol,date,qty,proceeds,note
AEHR,,109,,gap 2023-10..2024-08
AMD,,90,,
NVDA,,33,,
TSLA,,36,,
MRVL,,30,,
COIN,,40,,
TSM,,11,,
MSFT,,16,,
NFLX,,8,,
BYND,,22,,
TDOC,,100,,
GDYN,,52,,
# SOFI — superseded by the full history in manual_transactions.csv
METV,2024-01-11,175,1972.20,sold 175 @ 11.27 acct 171 — inside the API gap
AI,,100,,
BITO,2024-01-11,294,6929.00,sold 294 @ 23.5684 acct 171 — inside the API gap
XYZ,,14,,
SNOW,,65,,
ROKU,,50,,
25058X105,,145,,unidentified CUSIP
86800U104,,12,,unidentified CUSIP
